ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
vm-dbmigration-,,,,2024-02-14 15:07:38,ICP,Mean,0
vm-dbmigration-,,,,2024-02-14 15:07:38,ICP,Occurence,7
vm-dbmigration-,,,,2024-02-14 15:07:38,ICP,Variance,0
vm-dbmigration-,,,,2024-02-14 15:07:38,ICP,Max,0
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCS,Mean,10.88516
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCS,Occurence,7
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCS,Variance,4.765722E-06
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCS,Max,10.886503
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCP,Mean,33.333332
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCP,Occurence,6
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCP,Variance,2222.2224
vm-dbmigration-,AdventureWorks2022,,,2024-02-14 15:07:38,DCP,Max,100
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRM,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRM,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRM,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRM,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWM,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWM,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWM,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWM,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNW,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNW,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNW,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNW,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNR,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNR,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNR,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FNR,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRL,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRL,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRL,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FRL,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWL,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWL,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWL,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022.mdf,ROWS,2024-02-14 15:07:38,FWL,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRM,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRM,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRM,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRM,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWM,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWM,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWM,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWM,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNW,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNW,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNW,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNW,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNR,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNR,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNR,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FNR,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRL,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRL,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRL,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FRL,Max,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWL,Mean,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWL,Occurence,6
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWL,Variance,0
vm-dbmigration-,AdventureWorks2022,C:\Program Files\Microsoft SQL Server\MSSQL16.MSSQLSERVER\MSSQL\DATA\AdventureWorks2022_log.ldf,LOG,2024-02-14 15:07:38,FWL,Max,0
